Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
TEX35		3	3	1066	0.3%	No
PLEKHN1		2	2	1066	0.2%	No
RGS8		3	3	1066	0.3%	No
SLC10A7		2	2	1066	0.2%	No
KIRREL2		8	8	1066	0.8%	No
SLX9		1	1	1066	<0.1%	No
DTNBP1		4	3	1066	0.3%	No
SMIM21		1	1	1066	<0.1%	No
HDHD2		2	2	1066	0.2%	No
PTGR3		1	1	1066	<0.1%	No
OR6C65		2	2	1066	0.2%	No
OR6C68		1	1	1066	<0.1%	No
TEX55		9	8	1066	0.8%	No
ADGRV1		54	39	1066	3.7%	No
IGSF11		3	3	1066	0.3%	No
CEACAM4		2	2	1066	0.2%	No
KATNAL1		5	5	1066	0.5%	No
WDR54		2	2	1066	0.2%	No
MND1		4	4	1066	0.4%	No
SIGLEC15		2	2	1066	0.2%	No
NSRP1		3	3	1066	0.3%	No
ZRANB3		12	12	1066	1.1%	No
FAM153A		2	2	1066	0.2%	No
ARL10		1	1	1066	<0.1%	No
CDNF		3	2	1066	0.2%	No
ALDH16A1		3	3	1066	0.3%	No
CPT1C		8	8	1066	0.8%	No
FBXO30		4	4	1066	0.4%	No
RAB6C		4	4	1066	0.4%	No
FAM186B		6	6	1066	0.6%	No
HORMAD1		8	6	1066	0.6%	No
ARMC2		5	4	1066	0.4%	No
PGAM4		4	4	1066	0.4%	No
JOSD2		1	1	1066	<0.1%	No
KBTBD7		3	3	1066	0.3%	No
C3ORF20		5	5	1066	0.5%	No
ANKRD27		8	7	1066	0.7%	No
QRICH2		14	14	1066	1.3%	No
MYCBPAP		16	13	1066	1.2%	No
TKTL2		5	5	1066	0.5%	No
FSCB		3	3	1066	0.3%	No
TMEM192		3	3	1066	0.3%	No
UCN3		1	1	1066	<0.1%	No
SIGLEC11		3	3	1066	0.3%	No
SLC2A13		3	3	1066	0.3%	No
PODN		7	7	1066	0.7%	No
CCDC18		7	7	1066	0.7%	No
TCEANC2		1	1	1066	<0.1%	No
CNMD		4	4	1066	0.4%	No
SH2D7		2	2	1066	0.2%	No
WWP2		15	13	1066	1.2%	No
SOX30		4	3	1066	0.3%	No
ZNF704		4	4	1066	0.4%	No
DUS4L		1	1	1066	<0.1%	No
CNTRL		22	17	1066	1.6%	Yes
ANO3		4	4	1066	0.4%	No
KIF21B		11	11	1066	1.0%	No
PDS5B		10	10	1066	0.9%	Yes
FNBP1		4	4	1066	0.4%	Yes
SMG1		32	25	1066	2.3%	Yes
OR10J5		5	4	1066	0.4%	No
MYT1L		16	14	1066	1.3%	No
MON2		9	8	1066	0.8%	No
PDXDC1		7	7	1066	0.7%	No
TNIK		14	14	1066	1.3%	No
SNRNP35		3	3	1066	0.3%	No
NEUROG3		2	2	1066	0.2%	No
RAPGEF4		5	5	1066	0.5%	No
RALYL		3	3	1066	0.3%	No
CYB561D2		2	2	1066	0.2%	No
ADGRG4		28	25	1066	2.3%	No
CNTN4		12	11	1066	1.0%	No
TMEM115		1	1	1066	<0.1%	No
TOPBP1		14	13	1066	1.2%	No
CDC20B		2	2	1066	0.2%	No
TPPP		1	1	1066	<0.1%	No
KRTCAP3		1	1	1066	<0.1%	No
RWDD4		2	2	1066	0.2%	No
NMNAT2		4	4	1066	0.4%	No
CLUAP1		3	3	1066	0.3%	No
LRRN4		4	4	1066	0.4%	No
ZHX3		5	5	1066	0.5%	No
HGSNAT		6	6	1066	0.6%	No
ZSWIM8		14	13	1066	1.2%	No
NCOA6		20	20	1066	1.9%	No
TRIOBP		10	9	1066	0.8%	No
HSF2BP		3	3	1066	0.3%	No
RER1		2	2	1066	0.2%	No
SEPTIN10		2	2	1066	0.2%	No
B4GAT1		1	1	1066	<0.1%	No
PIM2		3	3	1066	0.3%	No
MID2		4	4	1066	0.4%	No
SPTSSB		1	1	1066	<0.1%	No
TMCC1		9	9	1066	0.8%	No
SPANXN4		1	1	1066	<0.1%	No
PDZRN3		9	9	1066	0.8%	No
BUD23		5	5	1066	0.5%	No
UNC13A		14	14	1066	1.3%	No
MYO16		24	21	1066	2.0%	No
KDM1A		5	5	1066	0.5%	No
RBM34		1	1	1066	<0.1%	No
PRIMPOL		4	4	1066	0.4%	No
BAGE2		1	1	1066	<0.1%	No
SNRNP200		19	18	1066	1.7%	No
PPIL4		2	2	1066	0.2%	No
PALLD		10	10	1066	0.9%	No
UPK1A		2	2	1066	0.2%	No
TENT4A		4	4	1066	0.4%	No
ADRM1		1	1	1066	<0.1%	No
SLC35D2		4	4	1066	0.4%	No
RNF183		2	2	1066	0.2%	No
OR2T3		5	5	1066	0.5%	No
OR2T8		3	3	1066	0.3%	No
OR2W3		1	1	1066	<0.1%	No
OR14K1		2	2	1066	0.2%	No
CPSF6		4	4	1066	0.4%	No
RTL8B		1	1	1066	<0.1%	No
NUDT21		1	1	1066	<0.1%	No
SAMD4A		6	6	1066	0.6%	No
PHLPP2		9	7	1066	0.7%	No
ZNF292		27	21	1066	2.0%	No
PDZD2		26	25	1066	2.3%	No
WDTC1		3	3	1066	0.3%	No
XPO7		10	10	1066	0.9%	No
B3GALT5-AS1		3	3	1066	0.3%	No
KDM4B		4	4	1066	0.4%	No
MAST3		8	6	1066	0.6%	No
USP33		7	7	1066	0.7%	No
FBF1		9	8	1066	0.8%	No
ZNF813		7	7	1066	0.7%	No
DOP1A		14	14	1066	1.3%	No
DDX52		1	1	1066	<0.1%	No
ATCAY		4	4	1066	0.4%	No
ZPBP		2	2	1066	0.2%	No
COL27A1		12	11	1066	1.0%	No
OR6F1		2	2	1066	0.2%	No
ABHD2		5	5	1066	0.5%	No
WWP1		15	13	1066	1.2%	Yes
OR5H15		3	3	1066	0.3%	No
OR5K3		2	2	1066	0.2%	No
OR5K4		1	1	1066	<0.1%	No
RAB35		2	2	1066	0.2%	Yes
WDFY3		25	23	1066	2.2%	No
GPR160		2	2	1066	0.2%	No
DAAM1		13	10	1066	0.9%	No
MAPKBP1		12	9	1066	0.8%	No
PLCH1		17	16	1066	1.5%	No
FETUB		2	2	1066	0.2%	No
KLHDC10		2	2	1066	0.2%	No
CYFIP2		14	12	1066	1.1%	No
OR5H14		2	2	1066	0.2%	No
AKAP8L		4	4	1066	0.4%	No
TDRKH		6	6	1066	0.6%	No
TMPRSS13		4	3	1066	0.3%	No
LILRB3		2	2	1066	0.2%	No
LILRA1		9	8	1066	0.8%	No
B3GNT5		4	3	1066	0.3%	No
LILRA2		4	4	1066	0.4%	No
LILRA3		3	3	1066	0.3%	No
DCAF4L2		12	12	1066	1.1%	No
RAB31		2	2	1066	0.2%	No
STK38L		5	5	1066	0.5%	No
SPEN		43	32	1066	3.0%	Yes
FBXO21		7	7	1066	0.7%	No
GOLGA8A		1	1	1066	<0.1%	No
EXOSC7		1	1	1066	<0.1%	No
FAIM2		2	2	1066	0.2%	No
CNOT1		17	16	1066	1.5%	No
LGALS12		5	4	1066	0.4%	No
RAB21		4	4	1066	0.4%	No
ADAP1		1	1	1066	<0.1%	No
ABCC11		7	7	1066	0.7%	No
RIPK3		4	4	1066	0.4%	No
FUNDC1		3	3	1066	0.3%	No
OR4A47		2	2	1066	0.2%	No
ZNF440		6	6	1066	0.6%	No
MIER3		1	1	1066	<0.1%	No
ZNF285		4	4	1066	0.4%	No
IL21		1	1	1066	<0.1%	No
TTC23L		4	4	1066	0.4%	No
CHORDC1		4	4	1066	0.4%	No
PARP15		9	8	1066	0.8%	No
CCDC159		3	3	1066	0.3%	No
SWSAP1		2	2	1066	0.2%	No
IL24		3	3	1066	0.3%	No
SHANK3		5	5	1066	0.5%	No
SLC27A2		2	2	1066	0.2%	No
SLC27A3		2	2	1066	0.2%	No
SPINK5		12	11	1066	1.0%	No
KIF2C		4	4	1066	0.4%	No
SHISAL1		4	4	1066	0.4%	No
LILRB4		2	2	1066	0.2%	No
TMCO2		1	1	1066	<0.1%	No
OR2T35		1	1	1066	<0.1%	No
ARSK		7	7	1066	0.7%	No
GLIPR1		3	3	1066	0.3%	No
FAM81B		8	7	1066	0.7%	No
AP3M1		6	6	1066	0.6%	No
PABPC1		3	3	1066	0.3%	No
ZNF491		4	3	1066	0.3%	No
ZNF441		10	8	1066	0.8%	No
SEC22A		2	2	1066	0.2%	No
ZNF684		1	1	1066	<0.1%	No
FAM229B		2	2	1066	0.2%	No
LIAS		4	4	1066	0.4%	No
TRIM9		2	2	1066	0.2%	No
KLK11		4	3	1066	0.3%	No
TLK2		6	6	1066	0.6%	No
OR2T27		9	9	1066	0.8%	No
KDELR2		3	3	1066	0.3%	No
TMSB15A		2	2	1066	0.2%	No
ATF7		3	2	1066	0.2%	No
KDELR3		2	2	1066	0.2%	No
TMED1		1	1	1066	<0.1%	No
SNRNP27		2	1	1066	<0.1%	No
FAM111A		6	6	1066	0.6%	No
ZNF567		7	6	1066	0.6%	No
MTX3		1	1	1066	<0.1%	No
KIAA0825		9	9	1066	0.8%	No
SLC17A9		1	1	1066	<0.1%	No
VSTM2A		1	1	1066	<0.1%	No
DTWD2		2	2	1066	0.2%	No
TTLL9		3	2	1066	0.2%	No
MANBAL		1	1	1066	<0.1%	No
DUSP21		4	4	1066	0.4%	No
ZNF114		4	4	1066	0.4%	No
FAM205A		7	7	1066	0.7%	No
GPATCH3		6	5	1066	0.5%	No
IL4I1		3	3	1066	0.3%	No
IL20		1	1	1066	<0.1%	No
RELL2		1	1	1066	<0.1%	No
ZBED8		6	6	1066	0.6%	No
TNN		16	15	1066	1.4%	No
CHTF18		5	5	1066	0.5%	No
ZNF335		7	7	1066	0.7%	No
ELMO2		4	4	1066	0.4%	No
BLOC1S5		3	3	1066	0.3%	No
GALNT11		7	7	1066	0.7%	No
FAM174A		2	2	1066	0.2%	No
UBQLN3		4	4	1066	0.4%	No
IL21R		2	2	1066	0.2%	Yes
GALNT9		4	4	1066	0.4%	No
ATP6V0A4		6	6	1066	0.6%	No
IL22		4	4	1066	0.4%	No
DEF6		4	4	1066	0.4%	No
ITSN2		15	12	1066	1.1%	No
STEEP1		3	2	1066	0.2%	No
MRPS14		2	2	1066	0.2%	No
ZNF667		5	4	1066	0.4%	No
MCUR1		1	1	1066	<0.1%	No
PCIF1		4	3	1066	0.3%	No
ZNF383		3	3	1066	0.3%	No
ITPA		1	1	1066	<0.1%	No
ITPK1		5	5	1066	0.5%	No
ANKEF1		5	5	1066	0.5%	No
ITPKA		1	1	1066	<0.1%	No
XPNPEP3		8	8	1066	0.8%	No
ITPKB		9	9	1066	0.8%	No
CHP2		3	3	1066	0.3%	No
ITPR1		24	19	1066	1.8%	No
ITPR2		18	16	1066	1.5%	No
ITIH4		4	4	1066	0.4%	No
CUZD1		3	3	1066	0.3%	No
ITK		11	11	1066	1.0%	Yes
ZFTRAF1		3	3	1066	0.3%	No
STT3A		1	1	1066	<0.1%	No
GEMIN4		5	5	1066	0.5%	No
KANSL1L		6	4	1066	0.4%	No
FAM227A		1	1	1066	<0.1%	No
PEG10		5	5	1066	0.5%	No
GPSM3		1	1	1066	<0.1%	No
FKBPL		2	2	1066	0.2%	No
SVIP		1	1	1066	<0.1%	No
DMRTC1		1	1	1066	<0.1%	No
DMRTC2		2	2	1066	0.2%	No
KDM4C		13	11	1066	1.0%	Yes
JAK1		14	12	1066	1.1%	Yes
PPRC1		12	12	1066	1.1%	No
JAK2		6	6	1066	0.6%	Yes
JAK3		12	12	1066	1.1%	Yes
FAM217B		6	6	1066	0.6%	No
ERC1		7	6	1066	0.6%	Yes
EXPH5		12	11	1066	1.0%	No
TRIM35		4	4	1066	0.4%	No
ITPR3		25	21	1066	2.0%	No
IVD		4	4	1066	0.4%	No
IVL		2	2	1066	0.2%	No
JAG2		2	2	1066	0.2%	No
AVL9		7	7	1066	0.7%	No
ANO7		3	2	1066	0.2%	No
FHIP1A		7	6	1066	0.6%	No
DMRTA1		2	2	1066	0.2%	No
ARHGAP26		9	9	1066	0.8%	Yes
JUND		1	1	1066	<0.1%	No
TTLL5		10	9	1066	0.8%	No
JUP		4	4	1066	0.4%	No
SIPA1L3		14	13	1066	1.2%	No
KIF1B		13	13	1066	1.2%	No
IQSEC2		10	9	1066	0.8%	No
CDK19		5	5	1066	0.5%	No
SARM1		3	3	1066	0.3%	No
PNPLA8		4	4	1066	0.4%	No
ZBTB43		4	4	1066	0.4%	No
JARID2		6	6	1066	0.6%	Yes
PLB1		9	8	1066	0.8%	No
ZNF423		8	8	1066	0.8%	No
JUN		4	4	1066	0.4%	Yes
ZC3H13		17	11	1066	1.0%	No
KERA		4	3	1066	0.3%	No
DNAJB4		3	3	1066	0.3%	No
ARHGEF4		8	8	1066	0.8%	No
DIDO1		20	16	1066	1.5%	No
ADAM30		6	6	1066	0.6%	No
ADAM29		12	12	1066	1.1%	No
SETD1B		5	5	1066	0.5%	Yes
ZNF433		4	4	1066	0.4%	No
C2ORF92		1	1	1066	<0.1%	No
CLSPN		9	8	1066	0.8%	No
KCNA2		5	5	1066	0.5%	No
KCNA3		2	2	1066	0.2%	No
ZNF609		8	8	1066	0.8%	No
KCNA4		12	11	1066	1.0%	No
TBC1D9B		8	7	1066	0.7%	No
GGA2		2	2	1066	0.2%	No
WAPL		5	5	1066	0.5%	No
SETX		24	18	1066	1.7%	No
EMC1		7	6	1066	0.6%	No
SLC45A1		6	6	1066	0.6%	No
CAND2		8	7	1066	0.7%	No
ARHGEF3		2	2	1066	0.2%	No
ANOS1		5	5	1066	0.5%	No
KARS1		2	2	1066	0.2%	No
KCNA1		10	10	1066	0.9%	No
WDR5		2	2	1066	0.2%	No
ADAMTS13		12	12	1066	1.1%	No
ADAMTS5		11	9	1066	0.8%	No
ADAMTS8		1	1	1066	<0.1%	No
PRSS23		3	3	1066	0.3%	No
KCND1		9	9	1066	0.8%	No
NUP42		4	3	1066	0.3%	No
KIF13A		16	15	1066	1.4%	No
VWA8		12	11	1066	1.0%	No
NEUROD6		9	7	1066	0.7%	No
NEUROG2		1	1	1066	<0.1%	No
ZNF791		6	5	1066	0.5%	No
RGPD2		3	3	1066	0.3%	No
PRDM16		7	6	1066	0.6%	Yes
TMED4		2	2	1066	0.2%	No
PRDM14		6	6	1066	0.6%	Yes
PRDM15		7	6	1066	0.6%	No
FIGNL1		4	4	1066	0.4%	No
KCNC3		3	3	1066	0.3%	No
CMTR1		5	4	1066	0.4%	No
ZNF709		2	1	1066	<0.1%	No
KCNC4		1	1	1066	<0.1%	No
ERP44		1	1	1066	<0.1%	No
HECW1		21	20	1066	1.9%	No
ZNF564		7	5	1066	0.5%	No
BLTP3B		14	14	1066	1.3%	No
SWAP70		5	4	1066	0.4%	No
RRP1B		4	4	1066	0.4%	No
MYCBP2		43	33	1066	3.1%	No
KCNA5		9	9	1066	0.8%	No
PTPN21		8	7	1066	0.7%	No
KCNA6		6	5	1066	0.5%	No
KCNA7		3	3	1066	0.3%	No
KCNA10		4	3	1066	0.3%	No
KCNB1		7	7	1066	0.7%	No
KCNC1		3	3	1066	0.3%	No
KCNC2		9	8	1066	0.8%	No
RNF180		4	4	1066	0.4%	No
SREK1IP1		1	1	1066	<0.1%	No
KCNJ3		3	3	1066	0.3%	No
ZNF454		8	6	1066	0.6%	No
KCNJ4		2	2	1066	0.2%	No
C5ORF60		6	6	1066	0.6%	No
KCNJ2		6	6	1066	0.6%	No
TMEM145		7	7	1066	0.7%	No
PRR19		2	2	1066	0.2%	No
KCND2		11	10	1066	0.9%	No
KCND3		7	7	1066	0.7%	No
KCNE1		1	1	1066	<0.1%	No
KCNF1		5	5	1066	0.5%	No
SSX4B		1	1	1066	<0.1%	No
KCNG1		2	2	1066	0.2%	No
KCNH1		11	11	1066	1.0%	No
KCNH2		8	8	1066	0.8%	No
KCNJ1		3	3	1066	0.3%	No
KCNJ14		2	2	1066	0.2%	No
KCNJ15		10	6	1066	0.6%	No
CHD3		15	13	1066	1.2%	No
CHD2		16	13	1066	1.2%	Yes
CHD1		13	10	1066	0.9%	No
RCC1		2	2	1066	0.2%	No
CHAT		4	4	1066	0.4%	No
RCBTB2		7	5	1066	0.5%	No
CHAD		3	2	1066	0.2%	No
C19ORF54		4	4	1066	0.4%	No
KCNJ5		2	2	1066	0.2%	Yes
KCNJ6		2	2	1066	0.2%	No
ZNF780A		8	8	1066	0.8%	No
KCNJ8		4	4	1066	0.4%	No
KCNJ9		1	1	1066	<0.1%	No
KCNJ10		4	4	1066	0.4%	No
KCNJ11		2	2	1066	0.2%	No
AKR1C4		4	4	1066	0.4%	No
KCNJ12		6	6	1066	0.6%	No
CHD4		29	27	1066	2.5%	Yes
KCNJ13		4	4	1066	0.4%	No
SYCE1L		2	2	1066	0.2%	No
KCNN1		1	1	1066	<0.1%	No
KCNN2		6	6	1066	0.6%	No
KCNN3		4	4	1066	0.4%	No
KCNN4		1	1	1066	<0.1%	No
CHM		7	7	1066	0.7%	No
CHKB		4	4	1066	0.4%	No
CHIT1		5	5	1066	0.5%	No
CHI3L2		3	3	1066	0.3%	No
CHI3L1		7	7	1066	0.7%	No
CHGB		9	9	1066	0.8%	No
FRK		2	2	1066	0.2%	No
FOXN3		2	2	1066	0.2%	No
CHEK1		4	4	1066	0.4%	Yes
KCNJ16		3	3	1066	0.3%	No
ZSCAN1		2	2	1066	0.2%	No
KCNK1		2	2	1066	0.2%	No
KCNK2		9	9	1066	0.8%	No
KCNK3		2	2	1066	0.2%	No
KCNMA1		10	9	1066	0.8%	No
KCNMB1		1	1	1066	<0.1%	No
CHKA		2	2	1066	0.2%	No
KCNS3		3	3	1066	0.3%	No
KDR		10	9	1066	0.8%	Yes
KEL		5	5	1066	0.5%	Yes
CHRM4		1	1	1066	<0.1%	No
CHRM3		3	3	1066	0.3%	No
LYST		36	30	1066	2.8%	No
CHRM2		8	7	1066	0.7%	No
CHRM1		4	4	1066	0.4%	No
ZNF776		5	5	1066	0.5%	No
ZIK1		5	5	1066	0.5%	No
ZNF547		4	4	1066	0.4%	No
CHN2		5	5	1066	0.5%	No
CHN1		5	5	1066	0.5%	Yes
CHML		6	6	1066	0.6%	No
KCNQ1		6	6	1066	0.6%	No
KCNQ2		11	11	1066	1.0%	No
KCNQ3		12	12	1066	1.1%	No
KCNS1		2	2	1066	0.2%	No
